"","y"
"1",4.00987351990139
"2",4.37305910242627
"3",5.23510194358603
"4",7.63490920626666
"5",8.8327764925833
"6",10.445036444776
"7",14.4075431730442
"8",16.7761741597143
"9",19.0333060191521
"10",19.0444479726854
"11",22.6534780114116
"12",30.7052954801839
"13",32.6985397086533
"14",41.2168092557132
"15",45.2499565563004
"16",45.5323758287553
"17",60.2280541976617
"18",67.777164061176
"19",60.9002000884364
"20",68.2593366611968
"21",73.6607310424252
"22",73.0898741767135
"23",68.3114195095672
"24",69.629273843144
"25",68.8477549020455
"26",67.9742932724664
"27",58.6440085855025
"28",70.7623575248534
"29",75.6334280819666
"30",72.6063430984095
"31",84.4887538946824
"32",94.6839476856525
"33",89.5285544317874
"34",104.359296588573
"35",106.409934297511
"36",112.458404656257
"37",134.173470154636
"38",120.992612859174
"39",117.4369806364
"40",111.362430214814
"41",101.581238840046
"42",97.194771304406
"43",95.5807988947779
"44",83.5920891597646
"45",108.083293452843
"46",119.66674065773
"47",109.989862567829
"48",95.9351316840562
"49",90.8639699374604
"50",103.028628955333
"51",102.459250231306
"52",105.199881197057
"53",101.206694263731
"54",98.3334408245957
"55",120.952397805624
"56",108.727829798485
"57",122.010648028729
"58",101.190352172027
"59",106.996403489272
"60",111.170453828189
"61",108.359952751298
"62",113.10499579373
"63",101.225339315656
"64",99.5748916835006
"65",88.6058092151338
"66",82.3533905789963
"67",85.2192487382436
"68",90.1322872808952
"69",101.821472786786
"70",107.77746766039
"71",123.340253327054
"72",113.044492223687
"73",85.4325600440918
"74",107.520111759094
"75",97.3323471741502
"76",87.5846461232645
"77",101.881666344371
"78",96.0397012402748
"79",85.294081019898
"80",88.3077351056125
"81",89.2838690515257
"82",97.6401659870998
"83",97.5581734998726
"84",94.9548885070319
"85",102.772912923076
"86",103.313241217789
"87",101.182011238945
"88",110.589880303886
"89",122.129849563196
"90",107.059588558564
"91",116.988563508897
"92",122.120965638748
"93",121.854634951154
"94",120.766794986741
"95",112.360972390038
"96",128.09249198611
"97",113.465478062099
"98",133.513558269564
"99",146.666073106345
"100",126.855548979381
"101",107.634496664402
"102",103.33146655605
"103",99.7410426869592
"104",106.255344798295
"105",96.2196972086395
"106",88.9521360804003
"107",87.9253692465459
"108",83.3447204519219
"109",70.9881992541298
"110",74.5174757526401
"111",87.4312828812509
"112",84.5542839026776
"113",89.5965328721421
"114",77.4393937735745
"115",80.9134951456385
"116",94.0170318805314
"117",90.9910536137386
"118",95.8631134186656
"119",96.7209638856695
"120",84.8770059882487
"121",75.811651653377
"122",81.6845223516597
"123",79.6078627186143
"124",76.9480295043671
"125",77.8624615780922
"126",98.186495686776
"127",93.3998418650504
"128",101.672463928395
