"","y"
"1",3.98701937440116
"2",4.53371096385967
"3",5.42367624739367
"4",5.68932422309827
"5",8.17360989999979
"6",10.0035392261706
"7",10.9877464169415
"8",14.0973801066267
"9",17.6112354229743
"10",21.1159712932184
"11",23.6410666881278
"12",32.6553223084197
"13",38.404257544739
"14",39.0181677198873
"15",35.0057567529386
"16",45.7280700431558
"17",51.1614129396086
"18",54.6496430693153
"19",67.5728117817604
"20",77.1979867386947
"21",83.1179471514471
"22",96.7720894665502
"23",100.742494145775
"24",109.093374136902
"25",90.1993302318634
"26",91.8228601598752
"27",90.6450914365168
"28",95.1021664705457
"29",81.3446500918923
"30",87.0999843267797
"31",87.3113043606069
"32",104.925387811583
