"","y"
"1",3.87321216408521
"2",4.35788283267871
"3",5.29752481637528
"4",7.39810565917645
"5",8.72216714439749
"6",10.7401348281483
"7",15.5792794949608
"8",17.6257567571455
"9",17.071186417575
"10",20.5892553223433
"11",21.6387849185941
"12",28.2843099584187
"13",35.3543607803509
"14",39.9507914227915
"15",43.8989604211127
"16",48.1284035182288
"17",62.9061621709959
"18",71.3111448993907
"19",62.6904318948253
"20",70.6556230739123
"21",73.5593801118549
"22",67.9183442562294
"23",71.8994268410758
"24",70.3132096813551
"25",68.1247110962036
"26",66.5742298803541
"27",62.7840819597917
"28",73.297167055548
"29",77.6418875395701
"30",71.8656466155427
"31",83.8089538401538
"32",95.8397452289739
"33",88.8919004912879
"34",108.171680915735
"35",115.462087988368
"36",116.161274723308
"37",117.235479270523
"38",119.874655492178
"39",117.283542871321
"40",108.294983945569
"41",102.019817709083
"42",92.7844891025885
"43",94.3376499388859
"44",82.1000774092935
"45",102.318701160269
"46",118.363950146628
"47",105.862583248141
"48",96.4400227045475
"49",95.8943934132707
"50",97.7731483968606
"51",101.280092713184
"52",105.475973170386
"53",103.666912358878
"54",102.036568146185
"55",113.88517865349
"56",107.022028880358
"57",121.400190011569
"58",102.329249005321
"59",104.487630172701
"60",105.683956045635
"61",107.198323180129
"62",117.07085098614
"63",100.737855017369
"64",99.6408540935544
