"","y"
"1",3.27421082104147
"2",4.52042873979274
"3",6.12706533014143
"4",7.07480624186726
"5",7.57594197591362
"6",7.62534179340637
"7",9.14910194815999
"8",8.93549631537522
"9",8.01294552856854
"10",8.86782417222532
"11",9.81824598343715
"12",9.31499071285695
"13",10.3211367789991
"14",8.89571209353637
"15",10.0274950475872
"16",10.2449305879506
"17",10.6801425193586
"18",10.6059144458683
"19",9.35000556062937
"20",9.46339900392943
"21",9.1777063839079
"22",9.66701303879139
"23",8.92816402075641
"24",9.00717620674505
"25",9.07166199057755
"26",10.508349769159
"27",8.36925649925532
"28",9.4955787235317
"29",9.5669357094691
"30",8.56940140172521
"31",9.74569806043541
"32",10.9932079291532
"33",10.2033567588982
"34",10.2194958118321
"35",10.1312116023161
"36",9.15191129823885
"37",11.5007644501913
"38",9.70296623093366
"39",11.0922794847034
"40",11.7084322557741
"41",9.14549160067798
"42",10.4097334233816
"43",9.67964672961513
"44",8.38021142458847
"45",9.20836050669335
"46",9.47304785624815
"47",9.75383823565512
"48",8.94237601210973
"49",10.3196558740452
"50",11.5982281072044
"51",9.15414987645903
"52",10.6884961115508
"53",10.6399522115174
"54",10.2982716496753
"55",9.77045526783448
"56",10.2309273618242
"57",10.5335951565596
"58",10.4938267568604
"59",9.99810356215898
"60",10.9391566833482
"61",10.0020837965116
"62",11.077993930382
"63",9.36616281207719
"64",9.09000064505027
"65",11.9545114693477
"66",9.09650715004068
"67",9.81987891844316
"68",10.2790592431122
"69",9.53782605508721
"70",10.5610517304157
"71",11.0656510787674
"72",10.3362283013733
"73",9.70676608696024
"74",10.0224308128051
"75",11.3179897975668
"76",9.1085864124758
"77",9.25555990515732
"78",9.96110433967118
"79",9.78102533336939
"80",10.0151877384649
"81",9.39718068082031
"82",9.02697280835905
"83",10.8381295070878
"84",9.59148500837258
"85",9.46273987701661
"86",9.82300105478763
"87",9.95755500946673
"88",11.2092666513991
"89",10.5370823749631
"90",10.8118591765413
"91",10.2331622009575
"92",10.9347812151727
"93",10.5703471216838
"94",10.7823220425955
"95",9.74067427300213
"96",9.80243285116125
"97",11.8058719828919
"98",11.4313637927019
"99",10.4051503775543
"100",10.5252517118486
